"Taxon","-14","-7","0","1","2","7","13"
"Unassigned;Other;Other;Other;Other;Other",0.00284024991738713,0.002479426957617,0.00020247890352095,0.00140238830030676,0.000292589454391186,6.58012423843688e-05,0.000295413438049007
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",0.0232460930738578,0.0401909908234983,0.00994677613545044,0.0445780451202731,0.0244445189623181,0.00430745055914375,0.0126069680724029
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia",0.00101437497049678,0.00116168955356852,0.00240443697931058,0.0015814165939608,0.0015427443958808,0.000652950789813877,0.000439128083585443
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__",0.241522680474961,0.263616835409624,0.428597219027185,0.315373258299136,0.442554849288002,0.177759525483856,0.190254238250474
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus",0.00503806235346565,0.0298918326918217,0.0128067906476959,0.000164109269184069,0.000638376991400082,0.00949056380540355,0.00617174561112501
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0.0851736850224345,0.0838843889575651,0.140419119590996,0.116413147949532,0.12036066192001,0.00398350598124854,0.0464357988023839
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter",0.0147084370722098,0.0183616304064075,0.0175650448803902,0.0362681484897691,0.0421594804737522,0.0115455872214243,0.00731347862844076
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__",0.0986986846291012,0.12632940428843,0.292809804353387,0.0953325663717831,0.29955840321441,0.0557387139333198,0.0676017724313975
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__",0.00229924993312691,0.000988303053034361,0.0106048325718893,0.0105626693257178,0.0140708928520852,0.00478830579195995,0.0163116122684929
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium",0.00213018743804196,0.00237539505729969,0.00217664821284315,0.0026705053803658,0.00180873480896369,0.000440362160571336,0.00105390740060746
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__",0.0272190617083282,0.0349027025572821,0.114223411448034,0.0225426459761728,0.0695032949386739,0.0181813894341541,0.0238885677470865
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes",0.000219781243607852,0.000797577902453958,0.00184761999462373,0.00395354148489841,0.00117035781756474,0.000248020067448359,0.000207587821331519
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea",0.00138631245967851,0.00123104415378538,0.00501135286213646,0.00189471610785537,0.00481442647681174,0.00110849785247147,0.00175651233434577
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]",0.00916318723347,0.0102818194815746,0.0228548062349322,0.00566922929909974,0.0277959981671626,0.00798725849863541,0.00621965049297463
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__",0.00786140602134686,0.0112181065844543,0.0203744396667992,0.0132480937305284,0.0284077761172533,0.00586137220624182,0.00542921994251603
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira",0.00639056231412588,0.00310361835953679,0.0139204246170018,0.00404305563172543,0.0158530286197406,0.00245995413836434,0.00348108808079181
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus",0.00686393730035599,0.00781973117402774,0.0170588476215737,0.00916028102537512,0.0136719072324609,0.00503126422536545,0.00393618445832712
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum",0.107185621882464,0.154972854175854,0.0133382977694306,0.0303005387012052,0.0173425749330048,0.00683320593989565,0.00493420283011004
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma",0.000760781227869365,0.001040319003197,0.00268284547164835,0.000805627321450373,0.00505381784858634,0.000997141903821974,0.00118963789916936
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia",0.000929843722954312,0.0027048294083138,0.00129080300994818,0.00220801562175713,0.000957565487099557,0.000708628764138622,0.000510985406355862
