"Taxon","A","AintoBonce","AwithB","B","BintoAonce"
"k__Bacteria;p__Actinobacteria",0.00575411491842158,0.0134901901464539,0.0449748527006135,0.0365888120540689,0.037401073401586
"k__Bacteria;p__Bacteroidetes",0.482534948882992,0.282739644846663,0.447536532029491,0.38561209939024,0.392028609740784
"k__Bacteria;p__Firmicutes",0.284931251978283,0.66426981361196,0.485045901684369,0.570199318914591,0.628976016537822
"k__Bacteria;p__Proteobacteria",0.0245994068839059,0.0215345388819506,0.0405455111467457,0.0276024056440594,0.0300370829239152
"k__Bacteria;p__Verrucomicrobia",5.95773366389549e-05,0.0121799125137678,0.0145510024384709,0.00994026399782353,0.0135501173955622
