"Taxon","-14","-7","0","1","2","7","13"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",0.310904572109587,0.119571965806479,0.0949475584155866,0.0840877576665654,0.0169623883312576,1.33382433747515e-05,1.38961353600945e-06
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales",0.00118832171783127,0.00128572006243281,0.00196274022564412,0.000877873681827984,0.000296581636466814,7.76043250894634e-05,3.99513891602472e-05
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales",0.349128920700012,0.361637988470631,0.43654613852084,0.0454792314556098,0.00130599983778046,0.00075057933172438,0.000270974639521105
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales",0.0197657512400315,0.0246819290773129,0.0156201409624477,0.000268736841375597,0.00143607950288825,0.0279642335189843,0.00864235398382456
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales",0.12279324417603,0.120507034942726,0.0621807007597072,0.0508808419672268,0.0131562573299434,0.00208682880436461,0.000471773795474174
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales",0.036323033841851,0.0281105159105007,0.0152930175914767,0.000358315788500538,0.000174306751257158,0.00371530706366464,0.00152857488960915
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales",0.121604922458358,0.169325436101151,0.415528461938388,0.127005031234036,0.0663406292097976,0.019646019923441,0.00658259932007074
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales",0.0284008890562429,0.00929224954217437,0.0206632929311292,0.0778351471568689,0.00875956464899083,0.000129744731009221,4.20358094642694e-05
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales",0.00205975764425015,0.00414936929240101,0.00547931646326677,0.000797252629412204,0.000777876397400726,2.42513515905121e-05,1.04221015200575e-06
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39",0.00241625415960152,0.00364287351023051,0.00215356219202782,1.79157894250269e-05,0,1.69759461133749e-05,0
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales",0.000158442895711167,0.000233767284078693,0,1.79157894250269e-05,0.000483896354235848,0.000390446760606911,0.000200104349185773
