"Taxon","-14","-7","0","1","2","7","13"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",0.125109722627599,0.151585040683621,0.0282695918363739,0.0262370417219907,0.00406929949874763,0.0039735628773774,0.00327816679149383
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia",0.00242377810219299,0.00228618633608529,0.00184300679536648,5.20920748947423e-05,1.96584516848106e-05,0.000753376854268996,0.000898998649188841
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__",0.336429905595708,0.370971836134463,0.358685677885731,0.45627448400315,0.37579096240646,0.224359627431847,0.195209837996319
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus",0.00579805742092243,0.052146821665889,0.0149572948186038,0.000347280499298558,0.000275218323586614,0.0728375409989884,0.0183250431723956
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other",0.000332675425790631,0.00296115563530636,0.000304629222374612,0,0,0.0036335432351856,0.000163454299852862
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0.142979145498441,0.0691952397720665,0.0344535650506287,0.111824320774101,0.151704271651054,0.0433025014906804,0.00464028595693435
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter",0.029774450608243,0.0405417043598119,0.0344992594339954,0.000364644524263445,1.96584516848106e-05,0,9.08079443625428e-06
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__",0.0722143299270072,0.0809092230940629,0.134707042133875,0.122867840651381,0.218975493317082,0.0382488762206511,0.135321998689333
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__",0.0236912428223736,0.0245601732104526,0.0165261353138509,0.000989749422997699,0.00125814090782531,0.000660038128960313,0.000499443693993272
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium",0.00335051678831788,0.00783835315227574,0.00370124505185761,1.73640249648865e-05,0,0.000200011554230423,0.00108061453791583
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__",0.00895847396597239,0.00820849760668904,0.0308132458432478,0.0270531508953312,0.0359159912280729,0.00459359869548291,0.02990305607864
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes",0.00470498102190017,0.00344016610571987,0.00173638656753777,0.00866464845748912,0.0064676306042859,0.000800046216923337,0.000508524488429859
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea",0.00149703941605989,0.00102334055043253,0.00431050349660244,0.00399372574193218,0.00574026789194781,0.00038668900484532,0.000835433088137485
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]",0.0089347114355034,0.00492074392337306,0.0167241443083909,0.0121548174754205,0.0218601982735072,0.00648704140886293,0.0370405605055693
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4",0.00273269099756795,0.0027651968064988,0.00115759104502762,0,0,0,0.000608413227232316
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__",0.0129030540146368,0.0171790573253706,0.0159778027135973,0.0222954080549208,0.0452340973266917,0.00559365646664737,0.0207677768757567
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira",0.00437230559610544,0.00352725891852723,0.00871239575990893,0.0220523117054804,0.030568892369836,0.00407356865448974,0.0172262670455829
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus",0.00990897518251705,0.0126284578564378,0.0178665038922646,0.0134744833727618,0.019796060846541,0.00148008550130282,0.00896274410862142
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum",0.0214575649635388,0.0392570853709753,0.00303106076262878,0.000364644524263445,1.96584516848106e-05,3.33352590384038e-05,0
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma",0.00280397858881085,0.00198136149126853,0.0031072180682228,5.20920748947423e-05,0,0,0
